time,daylight_duration
12/06/2023,39640.59
12/07/2023,39617.78
12/08/2023,39596.26
12/09/2023,39576.04
12/10/2023,39557.15
12/11/2023,39539.62
12/12/2023,39523.47
12/13/2023,39508.73
12/14/2023,39495.42
12/15/2023,39483.57
12/16/2023,39473.2
12/17/2023,39464.34
12/18/2023,39457
12/19/2023,39451.21
12/20/2023,39447
12/21/2023,39444.38
12/22/2023,39443.37
12/23/2023,39444
12/24/2023,39446.29
12/25/2023,39450.26
12/26/2023,39455.9
12/27/2023,39463.19
12/28/2023,39472.1
12/29/2023,39482.61
12/30/2023,39494.66
12/31/2023,39508.26
01/01/2024,39523.35
01/02/2024,39539.93
01/03/2024,39557.93
01/04/2024,39577.36
01/05/2024,39598.16
01/06/2024,39620.32
01/07/2024,39643.79
01/08/2024,39668.55
01/09/2024,39694.57
01/10/2024,39721.81
01/11/2024,39750.25
01/12/2024,39779.84
01/13/2024,39810.58
01/14/2024,39842.75
01/15/2024,39876.48
01/16/2024,39911.7
01/17/2024,39948.35
01/18/2024,39986.36
01/19/2024,40025.68
01/20/2024,40066.22
01/21/2024,40107.94
01/22/2024,40150.75
01/23/2024,40194.62
01/24/2024,40239.46
01/25/2024,40285.23
01/26/2024,40331.85
01/27/2024,40379.27
01/28/2024,40427.44
01/29/2024,40476.29
01/30/2024,40525.75
01/31/2024,40575.79
02/01/2024,40626.34
02/02/2024,40677.36
02/03/2024,40729.27
02/04/2024,40782.29
02/05/2024,40836.33
02/06/2024,40891.32
02/07/2024,40947.21
02/08/2024,41003.93
02/09/2024,41061.4
02/10/2024,41119.57
02/11/2024,41178.36
02/12/2024,41237.73
02/13/2024,41297.61
02/14/2024,41357.93
02/15/2024,41418.63
02/16/2024,41479.66
02/17/2024,41540.97
02/18/2024,41602.48
02/19/2024,41664.14
02/20/2024,41725.91
02/21/2024,41787.72
02/22/2024,41849.53
02/23/2024,41911.77
02/24/2024,41974.66
02/25/2024,42038.15
02/26/2024,42102.18
02/27/2024,42166.7
02/28/2024,42231.65
02/29/2024,42296.98
03/01/2024,42362.64
03/02/2024,42428.57
03/03/2024,42494.73
03/04/2024,42561.08
03/05/2024,42627.54
03/06/2024,42694.08
03/07/2024,42760.66
03/08/2024,42827.21
03/09/2024,42893.68
03/10/2024,42960.04
03/11/2024,43026.24
03/12/2024,43092.22
03/13/2024,43157.94
03/14/2024,43223.81
03/15/2024,43290.04
03/16/2024,43356.56
03/17/2024,43423.35
03/18/2024,43490.36
03/19/2024,43557.53
03/20/2024,43624.84
03/21/2024,43692.24
03/22/2024,43759.68
03/23/2024,43827.11
03/24/2024,43894.5
03/25/2024,43961.8
03/26/2024,44028.96
03/27/2024,44095.96
03/28/2024,44162.72
03/29/2024,44229.21
03/30/2024,44295.39
03/31/2024,44361.21
04/01/2024,44426.63
04/02/2024,44491.59
04/03/2024,44556.49
04/04/2024,44621.52
04/05/2024,44686.62
04/06/2024,44751.76
04/07/2024,44816.9
04/08/2024,44881.98
04/09/2024,44946.97
04/10/2024,45011.83
04/11/2024,45076.5
04/12/2024,45140.94
04/13/2024,45205.11
04/14/2024,45268.95
04/15/2024,45332.43
04/16/2024,45395.48
04/17/2024,45458.07
04/18/2024,45520.14
04/19/2024,45581.65
04/20/2024,45642.54
04/21/2024,45702.75
04/22/2024,45762.25
04/23/2024,45821.39
04/24/2024,45880.37
04/25/2024,45939.12
04/26/2024,45997.61
04/27/2024,46055.79
04/28/2024,46113.61
04/29/2024,46171.03
04/30/2024,46227.98
05/01/2024,46284.44
05/02/2024,46340.34
05/03/2024,46395.64
05/04/2024,46450.27
05/05/2024,46504.21
05/06/2024,46557.37
05/07/2024,46609.71
05/08/2024,46661.19
05/09/2024,46711.73
05/10/2024,46761.29
05/11/2024,46809.8
05/12/2024,46857.23
05/13/2024,46903.86
05/14/2024,46949.87
05/15/2024,46995.21
05/16/2024,47039.84
05/17/2024,47083.71
05/18/2024,47126.8
05/19/2024,47169.03
05/20/2024,47210.38
05/21/2024,47250.79
05/22/2024,47290.22
05/23/2024,47328.63
05/24/2024,47365.97
05/25/2024,47402.2
05/26/2024,47437.25
05/27/2024,47471.1
05/28/2024,47503.68
05/29/2024,47534.96
05/30/2024,47564.88
05/31/2024,47593.39
06/01/2024,47620.46
06/02/2024,47646.26
06/03/2024,47670.9
06/04/2024,47694.35
06/05/2024,47716.6
06/06/2024,47737.61
06/07/2024,47757.38
06/08/2024,47775.88
06/09/2024,47793.09
06/10/2024,47809
06/11/2024,47823.57
06/12/2024,47836.81
06/13/2024,47848.69
06/14/2024,47859.18
06/15/2024,47868.27
06/16/2024,47875.95
06/17/2024,47882.19
06/18/2024,47886.98
06/19/2024,47890.32
06/20/2024,47892.16
06/21/2024,47892.52
06/22/2024,47891.36
06/23/2024,47888.7
06/24/2024,47884.54
06/25/2024,47878.91
06/26/2024,47871.83
06/27/2024,47863.32
06/28/2024,47853.4
06/29/2024,47842.09
06/30/2024,47829.41
07/01/2024,47815.38
07/02/2024,47800.03
07/03/2024,47783.37
07/04/2024,47765.43
07/05/2024,47746.23
07/06/2024,47725.8
07/07/2024,47704.15
07/08/2024,47681.32
07/09/2024,47657.32
07/10/2024,47632.17
07/11/2024,47605.9
07/12/2024,47578.29
07/13/2024,47549.27
07/14/2024,47518.86
07/15/2024,47487.14
07/16/2024,47454.14
07/17/2024,47419.91
07/18/2024,47384.52
07/19/2024,47347.99
07/20/2024,47310.38
07/21/2024,47271.74
07/22/2024,47232.12
07/23/2024,47191.55
07/24/2024,47150.1
07/25/2024,47107.8
07/26/2024,47064.7
07/27/2024,47020.85
07/28/2024,46976.29
07/29/2024,46931.06
07/30/2024,46885.21
07/31/2024,46838.77
08/01/2024,46791.42
08/02/2024,46743.02
08/03/2024,46693.62
08/04/2024,46643.29
08/05/2024,46592.07
08/06/2024,46540.02
08/07/2024,46487.19
08/08/2024,46433.64
08/09/2024,46379.42
