datetime,close
2023-11-24,4.63
2023-11-22,4.6
2023-11-21,4.56
2023-11-20,4.57
2023-11-17,4.55
2023-11-16,4.55
2023-11-15,4.6
2023-11-14,4.62
2023-11-13,4.51
2023-11-10,4.46
2023-11-09,4.42
2023-11-08,4.47
2023-11-07,4.5
2023-11-06,4.48
2023-11-03,4.49
2023-11-02,4.44
2023-11-01,4.28
2023-10-31,4.2
2023-10-30,4.17
2023-10-27,4.13
2023-10-26,4.16
2023-10-25,4.21
2023-10-24,4.25
2023-10-23,4.22
2023-10-20,4.23
2023-10-19,4.33
2023-10-18,4.39
2023-10-17,4.45
2023-10-16,4.44
2023-10-13,4.37
2023-10-12,4.42
2023-10-11,4.45
2023-10-10,4.47
2023-10-09,4.4
2023-10-06,4.38
2023-10-05,4.31
2023-10-04,4.33
2023-10-03,4.33
2023-10-02,4.42
2023-09-29,4.43
2023-09-28,4.42
2023-09-27,4.37
2023-09-26,4.33
2023-09-25,4.43
2023-09-22,4.43
2023-09-21,4.49
2023-09-20,4.59
2023-09-19,4.65
2023-09-18,4.67
2023-09-15,4.67
2023-09-14,4.71
2023-09-13,4.64
2023-09-12,4.68
2023-09-11,4.74
2023-09-08,4.72
2023-09-07,4.77
2023-09-06,4.73
2023-09-05,4.8
2023-09-01,4.83
2023-08-31,4.86
2023-08-30,4.85
2023-08-29,4.83
2023-08-28,4.78
2023-08-25,4.75
2023-08-24,4.74
2023-08-23,4.85
2023-08-22,4.77
2023-08-21,4.77
2023-08-18,4.75
2023-08-17,4.75
2023-08-16,4.9
2023-08-15,4.92
2023-08-14,4.96
2023-08-11,4.93
2023-08-10,4.98
2023-08-09,4.99
2023-08-08,5.01
2023-08-07,5.02
2023-08-04,4.96
2023-08-03,4.96
2023-08-02,5.02
2023-08-01,5.09
2023-07-31,5.13
2023-07-28,5.08
2023-07-27,5.0
2023-07-26,5.01
2023-07-25,4.99
2023-07-24,5.04
2023-07-21,5.03
2023-07-20,5.05
2023-07-19,5.14
2023-07-18,5.16
2023-07-17,5.1
2023-07-14,5.07
2023-07-13,5.11
2023-07-12,5.08
2023-07-11,5.0
2023-07-10,4.88
2023-07-07,5.02
2023-07-06,5.02
2023-07-05,5.04
2023-07-03,5.1
2023-06-30,5.01
2023-06-29,4.92
2023-06-28,4.92
2023-06-27,4.91
2023-06-26,4.84
2023-06-23,4.79
2023-06-22,4.84
2023-06-21,4.83
2023-06-20,4.85
2023-06-16,4.88
2023-06-15,4.95
2023-06-14,4.93
2023-06-13,4.95
2023-06-12,4.84
2023-06-09,4.85
2023-06-08,4.83
2023-06-07,4.85
2023-06-06,4.82
2023-06-05,4.7
2023-06-02,4.8
2023-06-01,4.72
2023-05-31,4.68
2023-05-30,4.62
2023-05-26,4.59
2023-05-25,4.56
2023-05-24,4.58
2023-05-23,4.59
2023-05-22,4.71
2023-05-19,4.69
2023-05-18,4.73
2023-05-17,4.75
2023-05-16,4.75
2023-05-15,4.75
2023-05-12,4.75
2023-05-11,4.78
2023-05-10,4.76
2023-05-09,4.71
2023-05-08,4.79
2023-05-05,4.77
2023-05-04,4.65
2023-05-03,4.69
2023-05-02,4.74
2023-05-01,4.82
2023-04-28,4.8
2023-04-27,4.75
2023-04-26,4.79
2023-04-25,4.71
2023-04-24,4.75
2023-04-21,4.77
2023-04-20,4.74
2023-04-19,4.83
2023-04-18,4.9
2023-04-17,4.88
2023-04-14,4.89
2023-04-13,4.82
2023-04-12,4.85
2023-04-11,4.84
2023-04-10,4.88
2023-04-06,4.92
2023-04-05,4.89
2023-04-04,4.92
2023-04-03,4.91
2023-03-31,4.89
2023-03-30,4.75
2023-03-29,4.72
2023-03-28,4.66
2023-03-27,4.7
2023-03-24,4.72
2023-03-23,4.68
2023-03-22,4.65
2023-03-21,4.75
2023-03-20,4.64
2023-03-17,4.59
2023-03-16,4.68
2023-03-15,4.64
2023-03-14,4.81
2023-03-13,4.7
2023-03-10,4.72
2023-03-09,4.82
2023-03-08,4.87
2023-03-07,4.87
2023-03-06,4.93
2023-03-03,4.93
2023-03-02,4.87
2023-03-01,4.91
2023-02-28,4.89
2023-02-27,4.9
2023-02-24,4.89
2023-02-23,4.91
2023-02-22,4.86
2023-02-21,4.89
2023-02-17,4.94
2023-02-16,4.96
2023-02-15,5.08
2023-02-14,5.03
2023-02-13,5.02
2023-02-10,4.95
2023-02-09,4.96
2023-02-08,5.0
2023-02-07,5.01
2023-02-06,4.97
2023-02-03,5.04
2023-02-02,5.13
2023-02-01,5.07
2023-01-31,5.0
2023-01-30,4.94
2023-01-27,5.04
2023-01-26,5.03
2023-01-25,5.01
2023-01-24,5.02
2023-01-23,4.99
2023-01-20,4.96
2023-01-19,4.98
2023-01-18,5.06
2023-01-17,5.14
2023-01-13,5.14
2023-01-12,5.1
2023-01-11,5.1
2023-01-10,5.19
2023-01-09,5.1
2023-01-06,5.15
2023-01-05,5.15
2023-01-04,5.15
2023-01-03,5.14
